KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,25,0.0,20,1
-2,25,0.0,19,1
-3,25,0.0,57,1
-4,25,0.0,1894,1
-5,25,0.640625,31976060,0
-6,25,0.0,25,1
-7,25,0.5625,31230227,0
-8,25,0.546875,32166271,0
-9,25,0.0,24,1
-10,25,0.0,1899,1
-11,25,0.0,1508,1
-12,25,0.0,156,1
-13,25,0.4375,30345859,0
-14,25,0.0,18,1
-15,25,0.515625,28846630,0
-16,25,0.0,505,1
-17,25,0.0,84,1
-18,25,0.4375,30040523,0
-19,25,0.390625,29396466,0
-20,25,0.0,74700,1
-21,25,0.0,29,1
-22,25,0.296875,29992978,0
-23,25,0.3125,32065975,0
-24,25,0.390625,32150480,0
-25,25,0.296875,31343571,0
-26,25,0.28125,31654728,0
-27,25,0.0,17,1
-28,25,0.0,35,1
-29,25,0.0,265,1
-30,25,0.40625,31086110,0
-31,25,0.3125,31067272,0
-32,25,0.296875,32101864,0
-33,25,0.328125,30620640,0
-34,25,0.0,3087,1
-35,25,0.28125,31419646,0
-36,25,0.0,574,1
-37,25,0.15625,17174875,1
-38,25,0.3125,30601721,0
-39,25,0.0,19,1
-40,25,0.0,1080,1
-41,25,0.28125,30754732,0
-42,25,0.0,55,1
-43,25,0.28125,29753091,0
-44,25,0.296875,31536554,0
-45,25,0.34375,32472533,0
-46,25,0.0,278,1
-47,25,0.296875,31737079,0
-48,25,0.0,21,1
-49,25,0.328125,31698988,0
-50,25,0.328125,31840690,0
-51,25,0.265625,30850065,0
-52,25,0.0,1262,1
-53,25,0.0,411,1
-54,25,0.0,19,1
-55,25,0.265625,29991747,0
-56,25,0.375,32572302,0
-57,25,0.0,644,1
-58,25,0.296875,31955384,0
-59,25,0.25,30981754,0
-60,25,0.0,1592,1
-61,25,0.0,116,1
-62,25,0.3125,31159120,0
-63,25,0.28125,30114188,0
-64,25,0.28125,31444935,0
-65,25,0.296875,31124223,0
-66,25,0.0,54,1
-67,25,0.296875,29940838,0
-68,25,0.0,28,1
-69,25,0.359375,31876356,0
-70,25,0.28125,29535289,0
-71,25,0.0,62,1
-72,25,0.0,186441,1
-73,25,0.0,36,1
-74,25,0.34375,30866902,0
-75,25,0.28125,31442146,0
-76,25,0.0,39,1
-77,25,0.265625,30425847,0
-78,25,0.296875,30129857,0
-79,25,0.0,50,1
-80,25,0.0,48,1
-81,25,0.296875,31720708,0
-82,25,0.0,514,1
-83,25,0.0,53,1
-84,25,0.34375,30198435,0
-85,25,0.296875,30475345,0
-86,25,0.265625,29973938,0
-87,25,0.265625,30015399,0
-88,25,0.265625,28823100,0
-89,25,0.3125,30930860,0
-90,25,0.0,10508,1
-91,25,0.296875,30926005,0
-92,25,0.28125,29483978,0
-93,25,0.359375,31414798,0
-94,25,0.328125,31917895,0
-95,25,0.0,413,1
-96,25,0.0,1052,1
-97,25,0.28125,30468705,0
-98,25,0.0,5501,1
-99,25,0.4375,31886311,0
-100,25,0.0,29,1
-101,25,0.0,477,1
-102,25,0.0,28,1
-103,25,0.0,2058,1
-104,25,0.328125,32264844,0
-105,25,0.28125,31440150,0
-106,25,0.359375,31215136,0
-107,25,0.328125,30812984,0
-108,25,0.0,245,1
-109,25,0.0,25,1
-110,25,0.3125,30696982,0
-111,25,0.0,572947,1
-112,25,0.296875,31581999,0
-113,25,0.296875,31840015,0
-114,25,0.125,13690177,1
-115,25,0.3125,30752356,0
-116,25,0.265625,31609319,0
-117,25,0.296875,31979289,0
-118,25,0.0,973,1
-119,25,0.25,29832562,0
-120,25,0.3125,31020890,0
-121,25,0.0,19,1
-122,25,0.0,286179,1
-123,25,0.296875,29768871,0
-124,25,0.0,66,1
-125,25,0.0,46,1
-126,25,0.359375,31306933,0
-127,25,0.390625,30476258,0
-128,25,0.296875,31131258,0
-129,25,0.0,2648,1
-130,25,0.359375,29361455,0
-131,25,0.359375,27468423,0
-132,25,0.359375,31869244,0
-133,25,0.0,48470,1
-134,25,0.0,23,1
-135,25,0.484375,31883447,0
-136,25,0.0,486,1
-137,25,0.328125,30930157,0
-138,25,0.0,3018,1
-139,25,0.0,45,1
-140,25,0.328125,30148838,0
-141,25,0.0,23,1
-142,25,0.0,1346,1
-143,25,0.0,18,1
-144,25,0.0,10878,1
-145,25,0.34375,31555401,0
-146,25,0.0,24,1
-147,25,0.359375,30692783,0
-148,25,0.3125,31357837,0
-149,25,0.375,31025963,0
-150,25,0.0,28,1
-151,25,0.421875,32425693,0
-152,25,0.296875,31209906,0
-153,25,0.0,30,1
-154,25,0.0,5030,1
-155,25,0.40625,30573459,0
-156,25,0.0,260,1
-157,25,0.296875,31757111,0
-158,25,0.0,38,1
-159,25,0.0,24,1
-160,25,0.265625,31448674,0
-161,25,0.015625,34032,1
-162,25,0.0,95,1
-163,25,0.296875,30225867,0
-164,25,0.296875,31585021,0
-165,25,0.0,5397,1
-166,25,0.28125,30523612,0
-167,25,0.28125,28515383,0
-168,25,0.3125,30534532,0
-169,25,0.0,848924,1
-170,25,0.296875,30670607,0
-171,25,0.28125,30331232,0
-172,25,0.34375,31364823,0
-173,25,0.296875,30107000,0
-174,25,0.0,138,1
-175,25,0.0,2340,1
-176,25,0.296875,29551730,0
-177,25,0.328125,29197306,0
-178,25,0.28125,29973483,0
-179,25,0.28125,30293759,0
-180,25,0.328125,31869149,0
-181,25,0.0,288,1
-182,25,0.296875,32534393,0
-183,25,0.0,1532,1
-184,25,0.25,29969745,0
-185,25,0.0,2586,1
-186,25,0.0,86,1
-187,25,0.28125,31100946,0
-188,25,0.34375,31584236,0
-189,25,0.0,23,1
-190,25,0.28125,30590135,0
-191,25,0.3125,31078153,0
-192,25,0.3125,29927101,0
-193,25,0.0,28,1
-194,25,0.421875,31185496,0
-195,25,0.390625,31352713,0
-196,25,0.0,6352,1
-197,25,0.421875,29178387,0
-198,25,0.0,442,1
-199,25,0.0,71,1
-200,25,0.0,8937,1
-201,25,0.0,59,1
-202,25,0.4375,30323330,0
-203,25,0.0,20,1
-204,25,0.390625,31107600,0
-205,25,0.0,781,1
-206,25,0.0,55366,1
-207,25,0.375,30900959,0
-208,25,0.34375,31180789,0
-209,25,0.296875,32605416,0
-210,25,0.28125,29035003,0
-211,25,0.0,22,1
-212,25,0.0,46,1
-213,25,0.0,35447,1
-214,25,0.0,22,1
-215,25,0.34375,30821090,0
-216,25,0.296875,30423852,0
-217,25,0.296875,30732507,0
-218,25,0.34375,31311625,0
-219,25,0.3125,31509533,0
-220,25,0.015625,699013,1
-221,25,0.28125,29496121,0
-222,25,0.0,12954,1
-223,25,0.5,30782824,0
-224,25,0.0,276,1
-225,25,0.28125,30246879,0
-226,25,0.28125,30965116,0
-227,25,0.40625,30823969,0
-228,25,0.0,24,1
-229,25,0.0,62711,1
-230,25,0.359375,29759834,0
-231,25,0.0,114,1
-232,25,0.0,22,1
-233,25,0.296875,29038101,0
-234,25,0.0,2363,1
-235,25,0.0,351,1
-236,25,0.3125,31021279,0
-237,25,0.0,61,1
-238,25,0.0,38205,1
-239,25,0.3125,31453112,0
-240,25,0.0,24,1
-241,25,0.390625,31442075,0
-242,25,0.296875,29900686,0
-243,25,0.296875,31199008,0
-244,25,0.28125,29677332,0
-245,25,0.0,123,1
-246,25,0.25,27821696,0
-247,25,0.28125,31511651,0
-248,25,0.28125,30777122,0
-249,25,0.0,289,1
-250,25,0.0,23,1
-251,25,0.3125,31048092,0
-252,25,0.0,185,1
-253,25,0.265625,31253258,0
-254,25,0.296875,30137180,0
-255,25,0.375,30034453,0
-256,25,0.3125,30669367,0
-257,25,0.0,20,1
-258,25,0.0,413,1
-259,25,0.0,22,1
-260,25,0.25,28356571,0
-261,25,0.3125,30112876,0
-262,25,0.3125,30705529,0
-263,25,0.28125,31118972,0
-264,25,0.328125,31127580,0
-265,25,0.3125,31836145,0
-266,25,0.296875,31297073,0
-267,25,0.28125,29944607,0
-268,25,0.0,1167,1
-269,25,0.328125,30694232,0
-270,25,0.28125,30509660,0
-271,25,0.078125,8276869,1
-272,25,0.0,4983,1
-273,25,0.03125,3599852,1
-274,25,0.0,116,1
-275,25,0.015625,1238804,1
-276,25,0.328125,29943118,0
-277,25,0.0,420,1
-278,25,0.28125,31100575,0
-279,25,0.296875,31966927,0
-280,25,0.0,33,1
-281,25,0.359375,32099919,0
-282,25,0.421875,30632267,0
-283,25,0.0,7219,1
-284,25,0.328125,30923081,0
-285,25,0.0,7386,1
-286,25,0.375,30076868,0
-287,25,0.515625,31563073,0
-288,25,0.640625,32179705,0
-289,25,0.0,928,1
-290,25,0.40625,28416673,0
-291,25,0.0,6748,1
-292,25,0.5,30129305,0
-293,25,0.421875,30371508,0
-294,25,0.46875,31576188,0
-295,25,0.0625,3812602,1
-296,25,0.0,147,1
-297,25,0.0,470,1
-298,25,0.0,320,1
-299,25,0.015625,660124,1
-300,25,0.0,3185,1
-301,25,0.0,127,1
-302,25,0.0,204,1
-303,25,0.34375,31326162,0
-304,25,0.0,51,1
-305,25,0.296875,29023093,0
-306,25,0.0,411823,1
-307,25,0.0,25895,1
-308,25,0.265625,30629814,0
-309,25,0.0,1150,1
-310,25,0.28125,31235166,0
-311,25,0.0,24,1
-312,25,0.296875,32043512,0
-313,25,0.296875,29792107,0
-314,25,0.265625,30445155,0
-315,25,0.0,28,1
-316,25,0.0,140,1
-317,25,0.0,10422,1
-318,25,0.0,4084,1
-319,25,0.28125,31398369,0
-320,25,0.0,22,1
-321,25,0.0,34,1
-322,25,0.28125,28951550,0
-323,25,0.296875,31358766,0
-324,25,0.0,41150,1
-325,25,0.265625,30366050,0
-326,25,0.0,5420,1
-327,25,0.28125,30951566,0
-328,25,0.265625,29280701,0
-329,25,0.265625,29660849,0
-330,25,0.09375,10488470,1
-331,25,0.265625,30825986,0
-332,25,0.0,1201,1
-333,25,0.0,290,1
-334,25,0.0,46,1
-335,25,0.3125,31092189,0
-336,25,0.0,22,1
-337,25,0.265625,30698187,0
-338,25,0.0,1074,1
-339,25,0.0,644,1
-340,25,0.265625,29084100,0
-341,25,0.0,78,1
-342,25,0.0,737930,1
-343,25,0.296875,31445630,0
-344,25,0.0,21,1
-345,25,0.0,24305,1
-346,25,0.28125,31956442,0
-347,25,0.0,25,1
-348,25,0.3125,29130981,0
-349,25,0.0,109,1
-350,25,0.0,29,1
-351,25,0.34375,30758283,0
-352,25,0.0,24,1
-353,25,0.0,84,1
-354,25,0.390625,31176591,0
-355,25,0.0,32,1
-356,25,0.0,88982,1
-357,25,0.328125,31876097,0
-358,25,0.3125,28851286,0
-359,25,0.0,23,1
-360,25,0.0,35366,1
-361,25,0.0,23,1
-362,25,0.296875,31782588,0
-363,25,0.25,30304089,0
-364,25,0.015625,167459,1
-365,25,0.0,42,1
-366,25,0.0,811366,1
-367,25,0.296875,32222264,0
-368,25,0.328125,31125658,0
-369,25,0.0,98,1
-370,25,0.296875,32278819,0
-371,25,0.265625,30802610,0
-372,25,0.0,1885,1
-373,25,0.296875,30917848,0
-374,25,0.296875,31982729,0
-375,25,0.0,49438,1
-376,25,0.0,64258,1
-377,25,0.0,19028,1
-378,25,0.0,1701,1
-379,25,0.0,959,1
-380,25,0.0,34193,1
-381,25,0.0,325,1
-382,25,0.28125,30902703,0
-383,25,0.265625,29986101,0
-384,25,0.3125,31118387,0
-385,25,0.265625,31513185,0
-386,25,0.015625,911008,1
-387,25,0.0,25,1
-388,25,0.0,216,1
-389,25,0.0,22,1
-390,25,0.0,20,1
-391,25,0.0,69,1
-392,25,0.0,25,1
-393,25,0.0,89,1
-394,25,0.28125,31514307,0
-395,25,0.34375,30918857,0
-396,25,0.28125,31416746,0
-397,25,0.0,678,1
-398,25,0.0,297886,1
-399,25,0.015625,16891,1
-400,25,0.296875,30524921,0
-401,25,0.015625,827500,1
-402,25,0.34375,31890753,0
-403,25,0.296875,31913505,0
-404,25,0.0,1830,1
-405,25,0.296875,31054353,0
-406,25,0.0,131,1
-407,25,0.0,2316,1
-408,25,0.0,36,1
-409,25,0.0,18866,1
-410,25,0.4375,31771725,0
-411,25,0.0,1144,1
-412,25,0.28125,28592997,0
-413,25,0.0,21,1
-414,25,0.0,34,1
-415,25,0.265625,29370158,0
-416,25,0.0,18535,1
-417,25,0.0,25,1
-418,25,0.328125,30340263,0
-419,25,0.0,5994,1
-420,25,0.40625,31824244,0
-421,25,0.0,890,1
-422,25,0.375,31531121,0
-423,25,0.359375,30480791,0
-424,25,0.0,1132,1
-425,25,0.046875,3730389,1
-426,25,0.0,18,1
-427,25,0.34375,30993450,0
-428,25,0.0,19,1
-429,25,0.4375,31651348,0
-430,25,0.0,42,1
-431,25,0.0,31,1
-432,25,0.0,322,1
-433,25,0.0,230,1
-434,25,0.28125,30334750,0
-435,25,0.28125,32049279,0
-436,25,0.0,39,1
-437,25,0.0,135,1
-438,25,0.34375,30331361,0
-439,25,0.0,12914,1
-440,25,0.0,19,1
-441,25,0.0,49,1
-442,25,0.0,67,1
-443,25,0.296875,28029454,0
-444,25,0.3125,31374150,0
-445,25,0.359375,31301619,0
-446,25,0.0,642,1
-447,25,0.40625,31973202,0
-448,25,0.0,28,1
-449,25,0.0,84,1
-450,25,0.0,30185,1
-451,25,0.453125,30801757,0
-452,25,0.28125,30744226,0
-453,25,0.28125,31781998,0
-454,25,0.0,230,1
-455,25,0.0,72,1
-456,25,0.40625,31943964,0
-457,25,0.0,34,1
-458,25,0.0,44,1
-459,25,0.0,35,1
-460,25,0.0,78,1
-461,25,0.28125,32295865,0
-462,25,0.0,142,1
-463,25,0.0,73611,1
-464,25,0.265625,30709113,0
-465,25,0.0,25,1
-466,25,0.0,80,1
-467,25,0.0,136,1
-468,25,0.359375,31919608,0
-469,25,0.28125,32060550,0
-470,25,0.265625,31342038,0
-471,25,0.296875,30196887,0
-472,25,0.0,29915,1
-473,25,0.0,27,1
-474,25,0.296875,30392146,0
-475,25,0.0,81136,1
-476,25,0.28125,31998594,0
-477,25,0.0,238,1
-478,25,0.0,108,1
-479,25,0.0,157,1
-480,25,0.328125,31178589,0
-481,25,0.0,21,1
-482,25,0.296875,31096769,0
-483,25,0.0,791,1
-484,25,0.296875,31125872,0
-485,25,0.0,36,1
-486,25,0.0,135,1
-487,25,0.015625,1178462,1
-488,25,0.28125,30791314,0
-489,25,0.0,486,1
-490,25,0.0,62,1
-491,25,0.375,31460970,0
-492,25,0.328125,31360083,0
-493,25,0.0,24,1
-494,25,0.0,25,1
-495,25,0.265625,30781213,0
-496,25,0.3125,30938767,0
-497,25,0.0,359,1
-498,25,0.0,49,1
-499,25,0.0,71,1
-500,25,0.28125,31083864,0
